objectid_color,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,dir_rel_to_toc,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,llpp_who5_1998,llpp_who5_1999,llpp_who5_2000,llpp_who5_2001,llpp_who5_2002,llpp_who5_2003,llpp_who5_2004,llpp_who5_2005,llpp_who5_2006,llpp_who5_2007,llpp_who5_2008,llpp_who5_2009,llpp_who5_2010,llpp_who5_2011,llpp_who5_2012,llpp_who5_2013,llpp_who5_2014,llpp_who5_2015,llpp_who5_2016,llpp_who5_2017,llpp_who5_2018,llpp_who5_2019,llpp_who5_2020,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020
17082,IND,India,Chhattisgarh,Surajpur,930888,5,40,NorthTOC,23.93,25.219999,24.4,30.879999,30.49,33.700001,34.240002,32.490002,34.720001,39.34,41.970001,41.139999,38.560001,44.970001,41.009998,45.82,42.740002,41.860001,42.939999,40.830002,37.299999,43.52,44.643684,1.86,1.98,1.9,2.54,2.5,2.8099999,2.8699999,2.6900001,2.9100001,3.3699999,3.6199999,3.54,3.29,3.9200001,3.53,4,3.7,3.6099999,3.72,3.51,3.1700001,3.77,3.8850813,0,0,0,0,0,0,0,0,0,0.029999999,0.2,0.13,0.0099999998,0.49000001,0.11,0.56999999,0.27000001,0.19,0.28999999,0.11,0,0.34999999,0.45687824
17083,IND,India,Chhattisgarh,Surguja,805428,5,40,SouthTOC,22.620001,23.639999,22.700001,30.040001,29.41,32.470001,32.630001,31.48,33.450001,38.310001,39.810001,39.330002,36.709999,44.419998,38.869999,44.650002,40.860001,40.639999,41.990002,38.900002,36.349998,41.580002,43.533241,1.73,1.83,1.73,2.45,2.3900001,2.6900001,2.71,2.5999999,2.79,3.26,3.4100001,3.3599999,3.1099999,3.8599999,3.3199999,3.8900001,3.51,3.49,3.6199999,3.3199999,3.0699999,3.5899999,3.7762575,0,0,0,0,0,0,0,0,0,0.0099999998,0.090000004,0.059999999,0,0.44,0.039999999,0.47,0.16,0.13,0.23,0.050000001,0,0.19,0.36622238
17084,IND,India,Chhattisgarh,Uttar Bastar Kanker,847742,5,40,SouthTOC,28.360001,28.450001,28.469999,35.119999,33.630001,38.490002,39.669998,40.150002,40.599998,42.540001,43.060001,41.189999,42.310001,44.779999,38.889999,44.720001,42.240002,46.84,44.900002,42.02,42.700001,42.509998,48.094879,2.29,2.3,2.3,2.95,2.8099999,3.28,3.4000001,3.4400001,3.49,3.6800001,3.73,3.55,3.6600001,3.9000001,3.3199999,3.8900001,3.6500001,4.0999999,3.9100001,3.6300001,3.6900001,3.6800001,4.2232981,0,0,0,0,0,0.1,0.15000001,0.18000001,0.22,0.31999999,0.34999999,0.23,0.30000001,0.49000001,0.1,0.49000001,0.28,0.68000001,0.51999998,0.28,0.34,0.31999999,0.79741305
17090,IND,India,Gujarat,Ahmadabad,7933148,5,40,SouthTOC,34.869999,35.34,33.689999,34.970001,33.279999,37.130001,36.959999,38.990002,39.799999,39.220001,40.200001,36.84,41.900002,39.650002,38.119999,40.639999,42.900002,40.369999,39.869999,45.380001,40.849998,47.709999,48.33511,2.9300001,2.97,2.8099999,2.9400001,2.77,3.1500001,3.1300001,3.3299999,3.4100001,3.3499999,3.45,3.1199999,3.6199999,3.4000001,3.25,3.49,3.71,3.47,3.4200001,3.96,3.51,4.1900001,4.246841,0,0,0,0,0,0,0,0.02,0.1,0.050000001,0.11,0,0.27000001,0.079999998,0,0.14,0.34,0.14,0.11,0.56999999,0.18000001,0.76999998,0.83876032
17091,IND,India,Gujarat,Amreli,1148774,5,40,SouthTOC,17.870001,18.65,17.540001,17.35,17.93,19.73,19.690001,20.66,21.24,21.700001,22.68,20.540001,22.09,23,20.209999,23.870001,23.98,23.57,21.98,24.42,23.549999,25.82,27.759493,1.26,1.34,1.23,1.21,1.27,1.4400001,1.4400001,1.53,1.59,1.64,1.73,1.52,1.67,1.76,1.49,1.85,1.86,1.8200001,1.66,1.9,1.8200001,2.04,2.2304301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17092,IND,India,Gujarat,Anand,2278126,5,40,SouthTOC,27.059999,27.889999,27.940001,28.42,28.1,31.559999,31.870001,34.5,34.299999,35.240002,36.709999,33.639999,36.080002,35.560001,33.93,35.619999,38.369999,35.040001,35.25,39.709999,35.57,42.369999,39.867157,2.1600001,2.24,2.25,2.3,2.26,2.5999999,2.6300001,2.8900001,2.8699999,2.96,3.1099999,2.8099999,3.05,2.99,2.8299999,3,3.27,2.9400001,2.96,3.4000001,3,3.6600001,3.4169815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.23,0.022818161
17093,IND,India,Gujarat,Aravalli,1222179,5,40,SouthTOC,26.01,27.049999,25.32,28.93,28.370001,31.709999,30.129999,32.619999,34.439999,33.82,33.32,32.41,37.509998,35.369999,33.369999,35.259998,36.34,33.470001,33.700001,36.950001,33.18,40.18,38.543083,2.0599999,2.1600001,1.99,2.3499999,2.29,2.6199999,2.46,2.71,2.8900001,2.8199999,2.78,2.6900001,3.1900001,2.98,2.78,2.97,3.0699999,2.79,2.8099999,3.1300001,2.76,3.45,3.2872224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.020025291
17094,IND,India,Gujarat,Banaskantha,3401443,5,40,NorthTOC,24.52,25.469999,24.059999,28.98,28.66,31.360001,30.26,32.18,34.580002,30.84,31.809999,30.959999,34.040001,32.130001,29.91,32.740002,32.07,32.810001,30.32,32.41,29.76,36.52,36.090015,1.91,2.01,1.87,2.3499999,2.3199999,2.5799999,2.48,2.6600001,2.9000001,2.53,2.6300001,2.54,2.8499999,2.6600001,2.4400001,2.72,2.6500001,2.73,2.48,2.6900001,2.4300001,3.0899999,3.0468214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17095,IND,India,Gujarat,Bharuch,1716009,5,40,SouthTOC,23.4,24.34,24.459999,24.790001,25.23,27.4,27.77,30.15,30.360001,31.860001,33.02,30.469999,32.299999,31.24,28.27,32.41,33.549999,31.41,30.02,35.139999,32.529999,37.099998,38.415359,1.8,1.9,1.91,1.9400001,1.98,2.2,2.23,2.46,2.49,2.6300001,2.75,2.5,2.6800001,2.5699999,2.28,2.6900001,2.8,2.5899999,2.45,2.95,2.7,3.1500001,3.2747052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010604152
17096,IND,India,Gujarat,Bhavnagar,2535635,5,40,SouthTOC,23.51,24.41,22.91,20.940001,22.110001,24.030001,23.98,25.799999,25.51,26.27,28.16,24.66,25.790001,26.290001,22.969999,28.5,28.309999,28,25.74,29.66,27.77,31.33,33.391926,1.8099999,1.9,1.76,1.5599999,1.6799999,1.87,1.86,2.04,2.01,2.0799999,2.27,1.9299999,2.04,2.0899999,1.76,2.3,2.28,2.25,2.03,2.4200001,2.23,2.5799999,2.7824085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98E-07
