Country,PM2.5 concentration 2022 (in µg/m³),National Standard (in µg/m³),Life Expectancy Gains (in years) from reducing PM2.5 from 2022 Concentrations to the WHO Guideline of 5 µg/m³,Life Expectancy Gains (in years) from reducing PM2.5 from 2022 Concentrations to the National Standard
Sri Lanka,19.1,25,1.4,*
Syria,22.8,*,1.7,*
Taiwan,17.3,*,1.2,*
Tajikistan,17.1,*,1.2,*
Thailand,21.2,15,1.6,0.6076
Timor-Leste,11,*,0.6,*
Turkmenistan,10.4,*,0.5,*
United Arab Emirates,20.7,*,1.5,*
Uzbekistan,18.6,*,1.3,*
Vietnam,23.6,25,1.8,*
Yemen,16.8,*,1.2,*
Akrotiri and Dhekelia,13.4,*,0.8,*
Albania,12.6,10,0.7,0.2548
Andorra,8.7,25,0.4,*
Armenia,19.5,*,1.4,*
Austria,9.5,10,0.4,*
Azerbaijan,11.9,*,0.7,*
Belarus,9.8,15,0.5,*
Belgium,8.8,10,0.4,*
Bosnia and Herzegovina,23.9,20,1.9,0.3822
Bulgaria,18.8,10,1.4,0.8624
Croatia,14.1,10,0.9,0.4018
Cyprus,14.7,10,1,0.4606
Czechia,11.5,10,0.6,0.147
Denmark,7.1,10,0.2,*
Estonia,5.6,10,0.1,*
Faroe Islands,2.6,*,0,*
Finland,4.4,10,0,*
France,8.4,10,0.3,*
Georgia,13.7,20,0.9,*
Germany,8.5,10,0.3,*
Gibraltar,7.3,*,0.2,*
Greece,12.6,10,0.7,0.2548
Guernsey,6.9,*,0.2,*
Hungary,11.9,10,0.7,0.1862
Iceland,2.9,10,0,*
Ireland,5.4,10,0,*
Isle of Man,5.4,*,0,*
Italy,13.1,10,0.8,0.3038
Jersey,6.9,*,0.2,*
Kazakhstan,12,*,0.7,*
Kosovo,15.5,*,1,*
Latvia,12.2,10,0.7,0.2156
Liechtenstein,10.8,*,0.6,*
Lithuania,9.6,10,0.5,*
Luxembourg,8,10,0.3,*
Macedonia,19,*,1.4,*
Malta,7.2,10,0.2,*
Moldova,11.5,25,0.6,*
Monaco,9.9,*,0.5,*
Montenegro,15.1,25,1,*
Netherlands,8.5,10,0.3,*
Northern Cyprus,14.5,*,0.9,*
Norway,4.9,5,0,*
Poland,14.1,10,0.9,0.4018
Portugal,5.7,10,0.1,*
Romania,13.7,10,0.9,0.3626
Russia,9.3,25,0.4,*
San Marino,13.5,*,0.8,*
Serbia,16.9,25,1.2,*
Slovakia,12.1,10,0.7,0.2058
Slovenia,12.3,10,0.7,0.2254
Spain,7.5,10,0.2,*
Svalbard and Jan Mayen,*,*,*,*
Sweden,4.9,10,0,*
Switzerland,8.7,10,0.4,*
Turkey,21.1,*,1.6,*
Ukraine,10.8,25,0.6,*
United Kingdom,8.3,20,0.3,*
Vatican City,11.1,*,0.6,*
Åland,4,*,0,*
Anguilla,1.7,*,0,*
Antigua and Barbuda,1.8,*,0,*
Aruba,3.4,*,0,*
Bahamas,3.1,*,0,*
Barbados,2,10,0,*
Belize,9.9,*,0.5,*
Bermuda,2.8,*,0,*
"Bonaire, Sint Eustatius and Saba",3.3,*,0,*
British Virgin Islands,1.5,*,0,*
Canada,6,8.8,0.1,*
Cayman Islands,8,*,0.3,*
Clipperton Island,*,*,*,*
Costa Rica,12.6,*,0.7,*
Cuba,6.3,*,0.1,*
Curaçao,3.7,*,0,*
Dominica,2.3,*,0,*
Dominican Republic,7.9,15,0.3,*
El Salvador,27.4,15,2.2,1.2152
Greenland,1.1,*,0,*
Grenada,2.2,*,0,*
Guadeloupe,2.3,*,0,*
Guatemala,25.1,*,2,*
Haiti,9.9,*,0.5,*
Honduras,24.5,*,1.9,*
Jamaica,13.2,12,0.8,0.1176
Martinique,2.7,*,0,*
Montserrat,2.3,*,0,*
México,15.6,12,1,0.3528
Nicaragua,14.6,*,0.9,*
Panama,9.7,15,0.5,*
Puerto Rico,2.2,9,0,*
Saint Kitts and Nevis,2.4,*,0,*
Saint Lucia,2,*,0,*
Saint Pierre and Miquelon,3.4,*,0,*
Saint Vincent and the Grenadines,2.1,*,0,*
Saint-Barthélemy,2,*,0,*
Saint-Martin,1.8,*,0,*
Sint Maarten,2,*,0,*
Trinidad and Tobago,3.9,15,0,*
Turks and Caicos Islands,2.7,*,0,*
United States,6.9,9,0.2,*
"Virgin Islands, U.S.",1.8,9,0,*
American Samoa,1.4,9,0,*
Australia,3.4,8,0,*
