level,id,name0,name1,name,population,pm2023,pm2022,pm2021,pm2020,pm2019,pm2018,pm2017,pm2016,pm2015,pm2014,pm2013,pm2012,pm2011,pm2010,pm2009,pm2008,pm2007,pm2006,pm2005,pm2004,pm2003,pm2002,pm2001,pm2000,pm1999,pm1998,who2023,who2022,who2021,who2020,who2019,who2018,who2017,who2016,who2015,who2014,who2013,who2012,who2011,who2010,who2009,who2008,who2007,who2006,who2005,who2004,who2003,who2002,who2001,who2000,who1999,who1998,nat2023,nat2022,nat2021,nat2020,nat2019,nat2018,nat2017,nat2016,nat2015,nat2014,nat2013,nat2012,nat2011,nat2010,nat2009,nat2008,nat2007,nat2006,nat2005,nat2004,nat2003,nat2002,nat2001,nat2000,nat1999,nat1998
2,17910,India,Uttar Pradesh,Ghazipur,4228744,58.14,65.14,66.27,66.17,72.05,70.27,69.17,83.75,66.52,64.23,67.26,65.34,71.54,61.96,63.12,72.41,59.24,54.94,52.91,56.59,56.63,50.7,53.73,45.48,41.81,43.26,5.2,5.9,6,6,6.6,6.4,6.3,7.7,6,5.8,6.1,5.9,6.5,5.6,5.7,6.6,5.3,4.9,4.7,5.1,5.1,4.5,4.8,4,3.6,3.7,1.8,2.5,2.6,2.6,3.1,3,2.9,4.3,2.6,2.4,2.7,2.5,3.1,2.2,2.3,3.2,1.9,1.5,1.3,1.6,1.6,1,1.3,0.5,0.2,0.3
2,17443,India,Gujarat,Gir Somnath,1165998,21.19,19.43,21.75,20.8,20.65,22.2,20.08,18.49,21.05,20.28,18.89,16.32,18.05,18.96,17.89,19.37,19.12,18.12,16.68,15.86,16.18,14.99,14.67,15.15,15.53,14.96,1.6,1.4,1.6,1.5,1.5,1.7,1.5,1.3,1.6,1.5,1.4,1.1,1.3,1.4,1.3,1.4,1.4,1.3,1.1,1.1,1.1,1,0.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17523,India,Jharkhand,Giridih,2885251,38.38,37.45,43.84,42.19,44.17,43.58,47.09,48.97,45.89,41.69,44.64,40.77,46.21,35.84,41.64,43.38,36.09,34.41,32.12,34.5,32.97,32.85,31.35,29.85,26.46,26.42,3.3,3.2,3.8,3.6,3.8,3.8,4.1,4.3,4,3.6,3.9,3.5,4,3,3.6,3.8,3,2.9,2.7,2.9,2.7,2.7,2.6,2.4,2.1,2.1,0,0,0.4,0.2,0.4,0.4,0.7,0.9,0.6,0.2,0.5,0.1,0.6,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0
2,17342,India,Assam,Goalpara,1136042,34.69,31.5,42.98,40.48,39.26,41.54,38.37,33.84,35.01,37.74,36.82,42.76,34.59,38.25,39.13,33.93,34.21,36.16,32.91,28,29.75,26.57,27.76,25.34,23.15,21.26,2.9,2.6,3.7,3.5,3.4,3.6,3.3,2.8,2.9,3.2,3.1,3.7,2.9,3.3,3.3,2.8,2.9,3.1,2.7,2.3,2.4,2.1,2.2,2,1.8,1.6,0,0,0.3,0,0,0.2,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17524,India,Jharkhand,Godda,1568538,44.22,46.14,51.05,48.92,52.83,57.1,55.67,52.63,53.03,50.03,53.35,52.97,55.95,47.01,54.16,50.78,43.67,46.37,38.82,40.35,38.83,38.08,39.5,34.36,32.92,31.51,3.8,4,4.5,4.3,4.7,5.1,5,4.7,4.7,4.4,4.7,4.7,5,4.1,4.8,4.5,3.8,4.1,3.3,3.5,3.3,3.2,3.4,2.9,2.7,2.6,0.4,0.6,1.1,0.9,1.3,1.7,1.5,1.2,1.3,1,1.3,1.3,1.6,0.7,1.4,1.1,0.4,0.6,0,0,0,0,0,0,0,0
2,17343,India,Assam,Golaghat,1230379,24.49,23.47,31.3,29.01,29.15,32.42,27.86,27.12,27.74,29.34,28.74,32.48,27.89,28.29,33.82,26.01,28.15,29.5,25.45,25.6,25.1,22.16,23.96,23.25,23.6,20.17,1.9,1.8,2.6,2.4,2.4,2.7,2.2,2.2,2.2,2.4,2.3,2.7,2.2,2.3,2.8,2.1,2.3,2.4,2,2,2,1.7,1.9,1.8,1.8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17873,India,Tripura,Gomati,609603,51.89,44.41,54.37,51.43,48.63,61.35,44.82,48.23,50.89,54.07,45.72,51.07,48.23,49.68,51.92,45.73,44.3,46.83,42.5,41.17,41.09,35.89,38.98,38.07,33.75,32.73,4.6,3.9,4.8,4.6,4.3,5.5,3.9,4.2,4.5,4.8,4,4.5,4.2,4.4,4.6,4,3.9,4.1,3.7,3.5,3.5,3,3.3,3.2,2.8,2.7,1.2,0.4,1.4,1.1,0.8,2.1,0.5,0.8,1.1,1.4,0.6,1.1,0.8,0.9,1.2,0.6,0.4,0.7,0.2,0.1,0.1,0,0,0,0,0
2,17911,India,Uttar Pradesh,Gonda,3989734,50.22,56.59,61.07,57.29,60.89,61.29,65.87,72.65,64.72,50.55,60.28,59.68,68.96,59.56,60.92,61.86,55.7,53.29,48.37,50.8,51.78,44.55,50.09,43.46,33.98,36.56,4.4,5.1,5.5,5.1,5.5,5.5,6,6.6,5.9,4.5,5.4,5.4,6.3,5.3,5.5,5.6,5,4.7,4.3,4.5,4.6,3.9,4.4,3.8,2.8,3.1,1,1.6,2.1,1.7,2,2.1,2.5,3.2,2.4,1,2,1.9,2.8,1.9,2.1,2.1,1.5,1.3,0.8,1.1,1.2,0.4,1,0.3,0,0
2,17649,India,Maharashtra,Gondiya,1253953,42.73,39.66,46.98,45.71,43.92,41.53,41.94,44.04,42.92,39.97,41.45,34.36,39.56,35.2,36.2,38.57,37.19,33.39,30.14,31.73,29.54,27.31,29.24,26.17,23.93,21.65,3.7,3.4,4.1,4,3.8,3.6,3.6,3.8,3.7,3.4,3.6,2.9,3.4,3,3.1,3.3,3.2,2.8,2.5,2.6,2.4,2.2,2.4,2.1,1.9,1.6,0.3,0,0.7,0.6,0.4,0.1,0.2,0.4,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17369,India,Bihar,Gopalganj,3116760,67.35,73.5,73.98,74.77,76.87,88.04,84.14,92.77,83.4,80.25,81.97,86.08,83.31,75.38,78.26,78.79,75.15,73.02,65.58,61.98,60.84,59.22,66.29,56.53,46.09,44.93,6.1,6.7,6.8,6.8,7,8.1,7.8,8.6,7.7,7.4,7.5,7.9,7.7,6.9,7.2,7.2,6.9,6.7,5.9,5.6,5.5,5.3,6,5,4,3.9,2.7,3.3,3.3,3.4,3.6,4.7,4.3,5.2,4.3,3.9,4.1,4.5,4.2,3.5,3.7,3.8,3.4,3.2,2.5,2.2,2,1.9,2.6,1.6,0.6,0.5
