"","level","id","name0","name1","name","population","pm2023","pm2022","pm2021","pm2020","pm2019","pm2018","pm2017","pm2016","pm2015","pm2014","pm2013","pm2012","pm2011","pm2010","pm2009","pm2008","pm2007","pm2006","pm2005","pm2004","pm2003","pm2002","pm2001","pm2000","pm1999","pm1998","who2023","who2022","who2021","who2020","who2019","who2018","who2017","who2016","who2015","who2014","who2013","who2012","who2011","who2010","who2009","who2008","who2007","who2006","who2005","who2004","who2003","who2002","who2001","who2000","who1999","who1998","nat2023","nat2022","nat2021","nat2020","nat2019","nat2018","nat2017","nat2016","nat2015","nat2014","nat2013","nat2012","nat2011","nat2010","nat2009","nat2008","nat2007","nat2006","nat2005","nat2004","nat2003","nat2002","nat2001","nat2000","nat1999","nat1998"
"141",2,17929,"India","Uttar Pradesh","Maharajganj",3411424,53.39,55.46,60.32,56.23,57.25,64.37,62.08,68.52,64.71,55.48,57.29,61.5,65.79,58.97,61.35,59.92,58.07,56.67,48.28,47.68,45.61,44.6,51.39,43.97,34.01,33.15,4.7,4.9,5.4,5,5.1,5.8,5.6,6.2,5.9,4.9,5.1,5.5,6,5.3,5.5,5.4,5.2,5.1,4.2,4.2,4,3.9,4.5,3.8,2.8,2.8,1.3,1.5,2,1.6,1.7,2.4,2.2,2.8,2.4,1.5,1.7,2.1,2.5,1.9,2.1,2,1.8,1.6,0.8,0.8,0.5,0.5,1.1,0.4,0,0
"142",2,17415,"India","Chhattisgarh","Mahasamund",1242253,55.86,49.95,58.2,57.39,54.35,54.49,52.64,54.13,51.92,49.86,51.1,44.54,50.68,43.88,46.87,48.68,44.67,39.42,39.31,38.28,34.97,33.14,32.63,29.47,30.23,30.59,5,4.4,5.2,5.1,4.8,4.9,4.7,4.8,4.6,4.4,4.5,3.9,4.5,3.8,4.1,4.3,3.9,3.4,3.4,3.3,2.9,2.8,2.7,2.4,2.5,2.5,1.6,1,1.8,1.7,1.4,1.4,1.2,1.4,1.2,1,1.1,0.4,1,0.4,0.7,0.9,0.5,0,0,0,0,0,0,0,0,0
"143",2,17475,"India","Haryana","Mahendragarh",1087916,46.8,41.94,51.63,47.57,52.17,52.04,54.93,53.36,50.8,43.6,46.84,44.86,51.77,55.08,46.69,46.55,45.3,43.27,42.86,37.88,42.54,40.18,35.06,31,28.09,26.98,4.1,3.6,4.6,4.2,4.6,4.6,4.9,4.7,4.5,3.8,4.1,3.9,4.6,4.9,4.1,4.1,3.9,3.8,3.7,3.2,3.7,3.4,2.9,2.5,2.3,2.2,0.7,0.2,1.1,0.7,1.2,1.2,1.5,1.3,1.1,0.4,0.7,0.5,1.2,1.5,0.7,0.6,0.5,0.3,0.3,0,0.2,0,0,0,0,0
"144",2,17930,"India","Uttar Pradesh","Mahoba",1015765,42.62,38.36,42.96,44.55,47.84,45.16,48.37,47.65,42.56,40.8,43.05,42.68,44.33,39.61,39.97,43.07,37.97,33.72,35.27,34.02,35.52,30.79,29.62,26.24,26.25,26.71,3.7,3.3,3.7,3.9,4.2,3.9,4.3,4.2,3.7,3.5,3.7,3.7,3.9,3.4,3.4,3.7,3.2,2.8,3,2.8,3,2.5,2.4,2.1,2.1,2.1,0.3,0,0.3,0.4,0.8,0.5,0.8,0.7,0.3,0.1,0.3,0.3,0.4,0,0,0.3,0,0,0,0,0,0,0,0,0,0
"145",2,17931,"India","Uttar Pradesh","Mainpuri",2196447,63.07,63.76,66.29,68.41,69.5,67.12,72.89,75.45,73.21,66.31,69.98,66.9,72.28,68.5,63.74,71.21,60.29,55.48,59.16,58.32,60.09,53.22,53.58,47.22,45.02,47.02,5.7,5.8,6,6.2,6.3,6.1,6.7,6.9,6.7,6,6.4,6.1,6.6,6.2,5.8,6.5,5.4,4.9,5.3,5.2,5.4,4.7,4.8,4.1,3.9,4.1,2.3,2.3,2.6,2.8,2.9,2.7,3.2,3.5,3.3,2.6,2.9,2.6,3.2,2.8,2.3,3.1,2,1.5,1.9,1.8,2,1.3,1.3,0.7,0.5,0.7
"146",2,17979,"India","West Bengal","Maldah",4513825,52.06,55.25,58.23,59.95,57.74,65.44,60.93,57.04,59.12,58.11,60.04,64.02,59.27,55.4,61.34,52.94,48.78,51,45.83,41.12,43.75,41.27,42.79,37.89,36.62,36.38,4.6,4.9,5.2,5.4,5.2,5.9,5.5,5.1,5.3,5.2,5.4,5.8,5.3,4.9,5.5,4.7,4.3,4.5,4,3.5,3.8,3.6,3.7,3.2,3.1,3.1,1.2,1.5,1.8,2,1.7,2.5,2.1,1.7,1.9,1.8,2,2.4,1.9,1.5,2.1,1.3,0.9,1.1,0.6,0.1,0.4,0.1,0.3,0,0,0
"147",2,17760,"India","Punjab","Mansa",882739,47.2,44.73,53.21,50.35,48.86,52.86,54.04,59.11,58.68,47.11,49.68,50.67,55.62,56.22,47.05,46.13,45.67,44.98,42.68,40.26,43.48,36.7,33.4,29.93,25.48,26.68,4.1,3.9,4.7,4.4,4.3,4.7,4.8,5.3,5.3,4.1,4.4,4.5,5,5,4.1,4,4,3.9,3.7,3.5,3.8,3.1,2.8,2.4,2,2.1,0.7,0.5,1.3,1,0.9,1.3,1.4,1.9,1.8,0.7,0.9,1,1.5,1.6,0.7,0.6,0.6,0.5,0.3,0,0.3,0,0,0,0,0
"148",2,17932,"India","Uttar Pradesh","Mathura",2987612,67.72,63.96,72.19,72.15,77.12,74.27,79.61,79.06,74.05,64.63,70,68.45,77.79,73.26,64.92,67.74,60.82,56.58,60.78,56.93,62.48,55.99,52.43,47.2,44.58,48.56,6.1,5.8,6.6,6.6,7.1,6.8,7.3,7.3,6.8,5.8,6.4,6.2,7.1,6.7,5.9,6.1,5.5,5.1,5.5,5.1,5.6,5,4.6,4.1,3.9,4.3,2.7,2.3,3.2,3.2,3.6,3.4,3.9,3.8,3.3,2.4,2.9,2.8,3.7,3.3,2.4,2.7,2,1.6,2,1.7,2.2,1.6,1.2,0.7,0.4,0.8
"149",2,17933,"India","Uttar Pradesh","Mau",3277568,59,66.99,66.11,67.75,72.57,73.18,71.18,88.55,71.47,65.57,71.76,68.56,74.93,67.36,68.39,75.34,65.23,59.52,56.91,58.83,59,53.21,58.07,47.71,41.56,44.83,5.3,6.1,6,6.1,6.6,6.7,6.5,8.2,6.5,5.9,6.5,6.2,6.9,6.1,6.2,6.9,5.9,5.3,5.1,5.3,5.3,4.7,5.2,4.2,3.6,3.9,1.9,2.6,2.6,2.7,3.2,3.3,3.1,4.8,3.1,2.5,3.1,2.8,3.4,2.7,2.8,3.5,2.5,1.9,1.7,1.8,1.9,1.3,1.8,0.8,0.2,0.5
"150",2,17934,"India","Uttar Pradesh","Meerut",4025344,64.76,65.9,70.22,66.28,68.24,78.33,84.89,90.27,81.15,70.81,79.79,73.77,91.07,84.33,70.31,75.31,64.75,57.74,61.18,61.84,66.08,57.23,53.05,51.79,42.55,45.98,5.9,6,6.4,6,6.2,7.2,7.8,8.4,7.5,6.4,7.3,6.7,8.4,7.8,6.4,6.9,5.9,5.2,5.5,5.6,6,5.1,4.7,4.6,3.7,4,2.4,2.5,3,2.6,2.8,3.8,4.4,4.9,4,3,3.9,3.3,5,4.3,3,3.5,2.4,1.7,2.1,2.1,2.6,1.7,1.3,1.2,0.2,0.6
